committee_id,fundraising
C00658740,3000
C00395848,96650
C00675637,15010
C00257337,222889.32
C00680553,1100.75
C00384057,186100
C00665034,3500
C00648295,35582.67
C00651331,2006.81
C00586065,997.2
C00657825,14000
C00376665,55659.4
C00458877,312764.73
C00677112,4500
C00477745,188944.85
C00630954,6626.75
C00637371,58200
C00654079,105352.18000000001
C00638999,9165.63
C00680074,2473.75
C00637363,14286.81
C00657437,24966.780000000002
C00657155,16010.59
C00683045,40010.79
C00682310,30758.59
C00665372,650
C00678607,5000
C00683516,10000
C00460899,600
C00677583,250.12
C00685842,121695.38
C00668715,1000
C00666859,355.68
C00659714,2525
C00367862,118671.93
C00458976,127750
C00671156,91658.55
C00462374,283336.42
C00637496,5223.02
C00259143,18559.19
C00458125,153350
C00683706,2250
C00634253,472019.72
C00498212,114233
C00443705,103584.34
C00602722,298558.8
C00639450,13676.22
C00677625,7754.72
C00647958,8850
C00651752,21404.52
C00640938,9506.11
C00665448,8523.34
C00673020,1640
C00683268,74351.73999999999
C00683367,54184.57
C00473736,152919.12
C00416594,189108.18
C00652396,8751.64
C00629865,12895.87
C00570457,26289.08
C00657239,8970
C00656793,12849.51
C00172619,69846.46
C00629675,6000
C00630061,1740.9
C00597724,30580
C00602888,71500
C00607101,58397.67
C00653220,55110.83
C00650929,15037.64
C00667436,281.12
C00385773,172256
C00676668,44040
C00330142,32364.03
C00647560,600
C00266940,87640.71
C00665042,6290
C00638478,79606.67
C00647974,10462.14
C00636860,732.81
C00665646,15300
C00552547,205147.72
C00666131,2669.5
C00662270,288.42
C00670950,8826.67
C00563940,17363.09
C00451336,155844.06
C00655555,15250
C00592956,1850
C00660993,6000
C00664896,13506.98
C00656066,2878.62
C00606970,246.6
C00651372,12436.9
C00658567,113233.67
C00607879,1500
C00631978,46267.92
C00640755,4000
C00658195,2000
C00664953,3275.66
C00667675,21623.57
C00632497,2389.88
C00647081,70864.09
C00290825,188504.06
C00397737,57570.21
C00634212,97001.1
C00197160,107609.02
C00665968,2245
C00659839,10400
C00632455,4500
C00664847,4475
C00660548,24.33
C00376087,211439.69
C00632851,500
C00409797,55800
C00336388,126048.03
C00667741,60809.99
C00657395,2500
C00466516,76399.42
C00373001,108966.88
C00660977,10986.02
C00441014,240118.57
C00648915,21247.96
C00665471,3341.7
C00195065,56371.840000000004
C00670893,11000
C00633131,3500
C00219881,188810.09
C00666479,6862.42
C00653428,140.39000000000001
C00660316,736
C00430991,252124.94
C00682849,29531.3
C00648725,43226.36
C00671701,397.12
C00658716,5000
C00581330,46784.770000000004
C00656363,705.99
C00672295,2480
C00634139,750
C00674143,3750
C00662395,24960.6
C00652107,15904.86
C00659565,5500
C00670414,8750
C00667006,906.18
C00661777,3000
C00633602,1048.99
C00652636,1382.07
C00468256,311004.72
C00658401,126630.94
C00662866,2166.44
C00650671,5400.2
C00666883,20357.76
C00596841,600
C00614826,201536.68
C00648048,22869.35
C00648964,1375
C00236513,240057.41
C00631200,2849.0299999999997
C00591685,553
C00470948,18710.989999999998
C00631234,4980
C00273169,45666.6
C00364935,222945
C00635227,532.3
C00631895,21057.95
C00632943,1113.31
C00460402,5386.7
C00470757,283779.26
C00579896,45534.58
C00409409,13289.17
C00557884,1000
C00343236,98980.5
C00433136,56549.88
C00254581,48000
C00285254,34746
C00633511,1968.3999999999999
C00354688,74000
C00156612,29075.31
C00213611,112190
C00419630,181834.67
C00393348,18057.36
C00394957,125565.67
C00195628,72000
C00386755,20200.62
C00607002,10200.2
C00254185,56428.85
C00618983,34505
C00630483,12102.74
C00462523,1030344.1000000001
C00366948,48884.729999999996
C00433391,77334.65
C00597690,247.06
C00629774,21250
C00630335,700
C00471292,5413.6
C00433730,21001
C00445163,7000
C00615302,5000
C00631465,97.82
C00590307,6315
C00607325,1000
C00632505,35455.33
C00575860,500
C00632232,39208.63
C00632141,20000
C00631176,699.86
C00376673,9260
C00415331,264703.42
C00461822,42324.07
C00624346,7000
C00638262,15786.99
C00367110,25270.13
C00639013,242.5
C00587196,15733.9
C00561183,37703.16
C00639005,5000
C00493783,5125
C00557694,1200
C00612796,37.46
C00333740,51432
C00605600,1921
C00477323,30513.99
C00639302,10500
C00639658,5690
C00200865,296427.73
C00254573,70258.48
C00476853,2502.37
C00432906,53942.72
C00635839,12675
C00637587,5000
C00620443,103182
C00307314,63020.16
C00637074,34738.08
C00631564,72651.29
C00579599,1000
C00338954,599569.32
C00422410,343270.03
C00640003,116809.84
C00669481,16417.49
C00638767,5300
C00548941,27105
C00636910,276
C00587782,36200.57
C00666586,14959.15
C00658344,1073.7
C00649012,30552.75
C00672246,1413.04
C00660530,30176.9
C00676569,1200
C00664904,1742.06
C00613497,20635.35
C00654442,3622.5699999999997
C00679647,600
C00652271,44853.27
C00629881,600
C00287904,66751.08
C00611780,385
C00608430,854.35
C00634014,400
C00639534,167.14
C00637215,289.63
C00639146,20650.39
C00654194,1250
