committee_id,travel
C00475145,5303.24
C00670844,10572.63
C00466870,54658.06
C00653428,240.85999999999999
C00521948,39568.11
C00649640,1067.58
C00649376,21501.74
C00424713,6239.45
C00665356,160.23
C00510164,58494.35
C00632828,91600.64
C00572560,5610.53
C00647677,8810.73
C00670232,515.57
C00213611,12534.529999999999
C00551275,55303.58
C00650457,66896.18000000001
C00219881,7807.18
C00657122,4513.63
C00638510,28029.66
C00666735,6933.73
C00658922,903.56
C00675678,2123.54
C00602920,6804.37
C00462556,8010.26
C00459461,54678.27
C00410761,11283.34
C00590778,18043.28
C00637678,660.1899999999999
C00634048,5690.219999999999
C00646455,6912.88
C00652693,6696.58
C00664417,17982.79
C00651471,25432.68
C00650648,43925.75
C00657189,7283.67
C00667519,28383.8
C00581330,4533.65
C00648527,759.14
C00667832,2969.46
C00369801,33845
C00658708,832.25
C00544445,260.1
C00543892,2136.74
C00591065,14431.42
C00676668,23996.61
C00462697,41044.49
C00674143,1434.76
C00630426,372567.95
C00576173,43725.97
C00658492,17945.94
C00574640,1627.39
C00662767,42233.05
C00678557,413.38
C00617761,502.57
C00673384,2741.3900000000003
C00660597,966.3199999999999
C00672956,13970.05
C00663310,1238.82
C00461061,5789.05
C00660837,9136.14
C00649210,2645.0099999999998
C00412759,4927.06
C00639872,1025.18
C00649400,16743.68
C00671446,262
C00607838,27087.75
C00663914,28821.96
C00635797,8686.17
C00660555,7134.3499999999995
C00510958,3654.0299999999997
C00460550,31996.28
C00659623,3791.86
C00666966,7599.64
C00638403,13070.71
C00634923,22615.14
C00255562,102277.36
C00592659,24962.08
C00675488,438
C00654160,422.23
C00670380,519.27
C00464073,8962.2
C00543967,3875.8599999999997
C00482307,2421.27
C00680876,3996.1499999999996
C00666941,7982.4
C00633669,19938.52
C00652388,197.16
C00660795,26620.39
C00641381,93166.75
C00666354,502.02
C00467522,3993.12
C00648907,10542.03
C00653659,18846.11
C00592048,47848.43
C00561597,7530.09
C00651604,2978.21
C00441295,66958.62
C00631945,20160.710000000003
C00667576,5280.82
C00658807,1541.23
C00660134,1692.0500000000002
C00559393,2432.87
C00648949,3672.67
C00577353,16693.36
C00632232,3439.56
C00415182,7172.21
C00655910,8096.01
C00510461,26047.44
C00641415,1598.27
C00657528,134.59
C00543363,36161.01
C00652065,44776.18
C00649418,8695.08
C00672360,4419.09
C00649707,3138.12
C00573378,2352.23
C00664979,6777.85
C00670737,3776.85
C00650028,7791.37
C00678516,14390.53
C00442921,52541.73
C00655613,25999.91
C00667303,1367.35
C00637389,9841.22
C00641498,7469.91
C00631127,973.47
C00512970,4959.94
C00663427,3981.32
C00675900,711.31
C00653576,12876.62
C00657056,8966.23
C00655902,2508.94
C00659516,2311.45
C00666420,290
C00554113,9041.68
C00578567,2437.12
C00676627,4181.07
C00602995,50.02
C00641175,855.91
C00674853,881.28
C00649913,22875
C00652800,22920.33
C00385773,49652.09
C00650531,6189.76
C00658633,23607.38
C00655571,1985.35
C00370056,76813
C00662577,39410.32
C00580316,11963.72
C00632067,30791.29
C00575092,27354.19
C00552588,24467.97
C00659177,8265.73
C00459297,50871.47
C00651497,31736.57
C00477240,10857.34
C00410969,14012.1
C00665364,5000
C00677898,18949.06
C00678532,4830.68
C00156612,3189.87
C00673343,4730.32
C00575050,22105.79
C00668137,350.3
C00667758,5279.9
C00560847,4744.05
C00573949,14243.73
C00662981,5455.19
C00666461,14208.99
C00672162,2500
C00675215,18240.11
C00647131,13228.85
C00662874,7027.1
C00547893,92984.48
C00476820,46907.65
C00450049,20426.25
C00670679,3378.36
C00665109,1776.55
C00556365,48378.72
C00675108,16598.52
C00666743,3772.29
C00290064,10933.86
C00590463,610.38
C00671081,1497.68
C00659615,332.81
C00662940,1133.78
C00637074,80323.37
C00631572,28685.23
C00166504,13829.76
C00662650,48303.73
C00659292,3434.79
C00668475,342.25
C00572859,4682.35
C00513077,9837.85
C00311043,26224.79
C00514513,24742.36
C00547240,2540.44
C00649327,23616.399999999998
C00670505,774.9000000000001
C00647057,633.56
C00520379,4138.89
C00663591,9479.17
C00639526,5659.5
C00639419,10320
C00516666,72823.61
C00649392,199.89999999999998
C00661769,3969.73
C00662668,984.26
C00459099,5975
C00665588,1656.01
C00649483,27283.53
C00661371,1094.03
C00649079,18026.97
C00408534,18968.93
C00649798,38392.92
C00588764,11096.76
C00636779,1430.71
C00660530,2451.7400000000002
C00479063,1688.87
C00608695,44192.61
C00657098,1233.65
C00667741,43169.13
C00394957,250177.88
C00540617,4091.07
C00435974,8542.49
C00650440,13217.539999999999
C00661561,13326.08
C00561001,5281.08
C00664599,2208.74
C00555813,31376.97
C00652107,1289.2
C00656215,2302.48
C00541862,94520.37
C00650689,18474.12
C00422410,275831.98
C00441352,1592.72
C00472159,2345.7999999999997
C00660472,15417.88
C00083428,9572.03
C00310532,61153.71
C00657635,37503.66
C00434191,5858.99
C00202416,5177.11
C00651042,96209.9
C00655134,1263.67
C00458976,114033.29
