committee_id,postage
C00541862,31513.67
C00647164,5909.46
C00650689,2602.64
C00634709,5439.92
C00647040,1372
C00575092,4135.39
C00631002,1811.59
C00458976,1983.04
C00462143,1965.87
C00651042,102138.13
C00649160,589.16
C00650879,122.68
C00638536,503.37
C00653097,1828.9
C00640268,107.5
C00648956,3460.81
C00650036,2409.96
C00571869,7599.1
C00654640,1799.81
C00652271,3198.76
C00658310,633.24
C00653410,51634.28
C00373464,2866.69
C00652214,200.66
C00379735,4304.29
C00650887,1737.01
C00558510,946.6
C00654848,343
C00639252,581.1
C00648915,2027.22
C00557181,5216.76
C00446906,55425.79
C00641175,950.6
C00635342,62
C00454694,19370.81
C00650572,526.03
C00347492,18981.87
C00502393,8.1
C00607416,32416.25
C00646646,833
C00648683,658.78
C00661629,552.85
C00639583,200
C00658393,1198.7
C00656389,5.11
C00649988,635.21
C00648949,1279.97
C00650481,988.25
C00556506,14699.67
C00649459,19154.6
C00459461,725.92
C00648816,1043.05
C00369686,539.9
C00637546,4608.78
C00257121,1511
C00469163,6796.86
C00613539,211.67000000000002
C00637678,245
C00637389,1941
C00446815,11460.56
C00588764,650.15
C00634923,12947.57
C00660274,868.52
C00640763,1453.15
C00654178,2731.85
C00637074,67702.85
C00662551,527.5799999999999
C00655175,2002.94
C00662643,5230.97
C00649178,1735
C00653816,18259.399999999998
C00650812,2930
C00652495,16065.24
C00647115,2807.06
C00605592,3373.94
C00647024,124654.05
C00573980,23753.68
C00661587,9.35
C00464149,11421.55
C00597724,3007.76
C00639211,1181.31
C00420935,3497.05
C00614214,1187.8
C00654749,98
C00638726,138102.3
C00392670,295.09
C00326629,534.94
C00663070,8970.94
C00657825,161496.23
C00639310,76393.55
C00557520,3122.84
C00636720,4.12
C00195628,16568.65
C00384057,577.99
C00636399,146.25
C00636324,4155.45
C00343871,47967.19
C00649558,10158.75
C00354688,11840.83
C00422410,2417.4700000000003
C00310532,1020.6
C00255562,7926.49
C00659276,244
C00510461,1338.28
C00257956,9065.900000000001
C00660381,119438.28
C00654442,1072.99
C00331769,912.73
C00661173,8796.89
C00499947,1313.46
C00543926,57961.85
C00648220,25440.93
C00590489,718.17
C00646844,13565.029999999999
C00286187,8122.9
C00637892,840
C00344697,2635.17
C00558213,1289.9
C00648493,119614.16
C00591784,184.06
C00569707,639
C00476291,164583.6
C00510917,77.9
C00651158,1449.48
C00673681,2394.11
C00664524,283.1
C00659318,1255.8
C00545467,240247.30000000002
C00546358,159.01
C00657486,589
C00554949,14302.34
C00629881,439.65
C00652784,59078.23
C00473272,30446.15
C00550871,184.19
C00551374,22.47
C00552430,50
C00552547,888210.85
C00331397,5748.0199999999995
C00555813,66449.14
C00558627,46935.659999999996
C00656371,520154.05
C00558486,250.12
C00658435,173.92999999999998
C00663542,903.26
C00653584,1196.66
C00572560,21430.4
C00575126,2183.78
C00576041,12119.91
C00578302,130187.17
C00458877,10268.94
C00630749,15592.53
C00474189,7466.34
C00639740,6768.66
C00653162,1472.73
C00401034,6647.53
C00579896,5956.18
C00649756,2190.89
C00657320,9254.81
C00457556,418
C00628917,11369.35
C00654780,10408.28
C00597716,92.56
C00659235,3101.2599999999998
C00677849,5783.21
C00649731,1437.35
C00655274,4102.700000000001
C00653089,110.75
C00140715,23549.1
C00607432,211527.75
C00664599,10354.880000000001
C00659078,344.4
C00657619,6854.53
C00664011,100
C00669630,6581.5
C00659953,458
C00658070,2026.51
C00652651,5704.36
C00606970,55.32
C00659912,350
C00675603,11761.66
C00346080,61500.4
C00649673,456.55
C00244335,2253.45
C00359034,19736.08
C00658740,430
C00667006,39939.1
C00656744,2897.88
C00498667,452.44
C00649806,1837.4
C00600718,3667.37
C00615518,9283.21
C00665885,247.55
C00610964,215.9
C00671537,155.49
C00653733,1443.88
C00637777,3094.92
C00675876,199.75
C00395848,304656.32
C00257337,77337.83
C00680553,125753.35
C00657437,949.85
C00648295,25601.09
C00651331,2083.98
C00519355,970
C00658591,279.5
C00639146,5395.37
C00663849,5717.45
C00670463,20
C00667675,41128.76
C00477745,37393.53
C00681072,66.73
C00153684,167.35
C00654079,22988.83
C00668491,6978.12
C00637496,13617.39
C00410639,4900
C00279851,7821.35
C00422980,21940.78
C00311639,396.25
C00649582,300
C00678797,605
C00167585,163893.29
C00224691,78464.27
C00330142,6488.86
C00677583,593.6800000000001
C00668715,1040.13
C00666859,133445
C00639450,604.28
C00458125,39288.55
C00367862,47136.16
C00667949,1225.74
C00671156,28625.179999999997
C00462374,6583.7699999999995
C00374058,19759.3
C00638262,340.9
C00634253,366397.09
C00572602,17893.87
C00664482,550
