"","committee_name","committee_id","candidate_name","candidate_id","party","state","district","region","incumbent_challenge","hold_flip","win_per","lose_per","delta","total","advertise","poll","research","consulting","fundraise","pay","materials","travel","event","mail","radio","television","newspaper","smedia","website"
"117","MCCORMICK FOR CONGRESS","C00648006","MCCORMICK, KAREN A DVM","H8CO04091","DEM","CO",4,"west","C","GOP Hold",60.6,39.4,21.2,955991.94,52707.46,17500,5750,355872.94,19157.36,148753.26,NA,715.89,103,24502.07,NA,9000,NA,NA,2745
"118","TRITCH FOR CONGRESS","C00648055","TRITCH, COURTNEY","H8IN03076","DEM","IN",3,"midwest","C","GOP Hold",64.7,35.3,29.4,843558.08,430401.12,4367.8,32000,NA,12913.31,135456.29,4124.54,494.56,12864.43,23514.38,NA,424537.33,325,NA,129.72
"119","THE COMMITTEE TO ELECT LISA RING, LLC","C00648287","RING, LISA M. MS.","H8GA01063","DEM","GA",1,"south","C","GOP Hold",57.7,42.3,15.4,191727.78,14331.53,NA,NA,NA,1619.25,64637.19,53.29,400.93,3339.77,513.38,NA,NA,NA,NA,999.88
"120","BOB RACKLEFF CAMPAIGN COMMITTEE","C00648519","RACKLEFF, ROBERT BRUCE","H8FL02097","DEM","FL",2,"south","C","GOP Hold",67.4,32.6,34.8,260284.65,33000,NA,NA,35104,6814.57,1415,NA,251.6,232.78,100,NA,33000,NA,NA,NA
"121","FRIENDS OF KEVIN GAITHER","C00648675","GAITHER, KEVIN","H8IL15072","DEM","IL",15,"midwest","C","GOP Hold",70.9,29.1,41.8,48286.98,11031.59,NA,NA,NA,400,NA,NA,11345.99,2845.01,NA,2906.33,NA,3125.26,NA,212
"122","FRIENDS OF JESS KING","C00648774","KING, JESSICA","H8PA16078","DEM","PA",11,"northeast","O","GOP Hold",59,41,18,1890729.46,809396.15,21600,NA,292307.47,5307.08,423756.18,NA,16793.48,28703.49,95652.87,NA,377487.63,15.8,NA,NA
"123","MIKE MILLER FOR CONGRESS","C00648816","MILLER, MIKE","H8FL07062","REP","FL",7,"south","C","Dem Hold",57.7,42.3,15.4,1114479.31,2022,NA,13000,344816.47,76303.77,3500,NA,NA,24466.61,105302.74,NA,NA,NA,NA,NA
"124","STEVEN DAVID FOR CONGRESS","C00648964","DAVID, STEVEN","H8TX08080","DEM","TX",8,"south","C","GOP Hold",73.4,24.9,48.5,31164.24,589.3,NA,NA,NA,1375,NA,NA,NA,NA,NA,NA,NA,NA,299.51,NA
"125","MCLEOD-SKINNER FOR OREGON","C00649004","MCLEOD-SKINNER, JAMIE","H8OR02161","DEM","OR",2,"west","C","GOP Hold",56.3,39.4,16.9,1312666.54,514942.75,16500,16656.35,126536.76,27748.16,134210.46,6743.93,1808.83,18235.39,115641.22,NA,NA,NA,14098,4842.75
"126","STEPHANY ROSE FOR CONGRESS","C00649038","SPAULDING, STEPHANY ROSE","H8CO05130","DEM","CO",5,"west","C","GOP Hold",57,39.3,17.7,326189.79,116662.11,NA,NA,69092.75,11252.29,15474.14,392.32,1875.84,6008.91,1623.54,4737,NA,NA,25.1,168
"127","COMMITTEE TO ELECT TEDRA COBB","C00649061","COBB, TEDRA","H8NY21245","DEM","NY",21,"northeast","C","GOP Hold",56.1,42.4,13.7,1504992.83,2344.17,34500,7792.5,47270,38270,119941.49,NA,2818.33,3055,6381.74,NA,NA,NA,NA,10000
"128","HOLDEN 2018","C00649079","HOLDEN, DAVID","H8FL19067","DEM","FL",19,"south","C","GOP Hold",62.3,37.7,24.6,639736.54,193830.5,NA,NA,189851.71,49720.65,143573.03,3915.87,18026.97,14197.54,12750.4,NA,NA,NA,NA,16401.4
"129","WATTS FOR CONGRESS","C00649194","WATTS, RYAN","H8NC06079","DEM","NC",6,"south","C","GOP Hold",56.6,43.4,13.2,314084.54,3960.68,NA,600,144276.52,43745,NA,2500,NA,5166.91,26827.42,NA,NA,1970,5500,1954.82
"130","JENNIE LOU LEEDER FOR UNITED STATES CONGRESS","C00649210","LEEDER, VIRGINIA LOUISE","H8TX11100","DEM","TX",21,"south","C","GOP Hold",80.1,18.4,61.7,80541.85,6429.48,NA,NA,12700,7000,15075,NA,2645.01,585.66,NA,2060,NA,NA,1385.52,150
"131","MARK HARRIS FOR CONGRESS","C00649236","HARRIS, MARK EVERETTE","H6NC09200","REP","NC",9,"south","C",NA,48.8,49.4,-0.6,2092146.47,600,24000,7500,NA,64476.3,369107.91,NA,15160.64,7989.21,226.09,NA,NA,600,NA,NA
"132","PRICE4WNC","C00649277","PRICE, PHILLIP","H8NC11103","DEM","NC",11,"south","C","GOP Hold",59.2,38.7,20.5,226555.25,10506,NA,NA,3250,800,NA,NA,22022.82,749.84,504.12,10506,NA,NA,NA,880
"133","CAROLYN FOR CONGRESS","C00649376","BOURDEAUX, CAROLYN","H8GA07201","DEM","GA",7,"south","O","GOP Hold",50.1,49.9,0.2,3164529.71,4000.99,NA,96000,245214.9,73351.41,616881.12,NA,21501.74,10026.66,193354.83,NA,NA,NA,NA,1522.59
"134","GREG SAGAN FOR CONGRESS","C00649392","SAGAN, GREGORY T. MR.","H8TX13163","DEM","TX",13,"south","C","GOP Hold",81.5,16.9,64.6,35757.57,3723.45,NA,NA,NA,775.27,NA,NA,199.9,882.98,NA,2176.45,NA,347,NA,NA
"135","ANDREW GRANT FOR CONGRESS","C00649400","GRANT, ANDREW","H8CA07056","REP","CA",7,"west","C","Dem Hold",55,45,10,572896.3,58574.12,2600,300,176812.96,123936.45,14981.63,NA,16743.68,10532.67,92361.54,NA,NA,NA,NA,3818
"136","DIANE FOR COLORADO CD3","C00649459","MITSCH BUSH, DIANE MS.","H8CO03192","DEM","CO",3,"west","C","GOP Hold",51.5,43.6,7.9,2121331.72,130597.77,500,80524.29,81381.03,22387.5,369606.91,NA,18682.28,4525,19154.6,NA,NA,NA,NA,1000.08
