"","committee_id","total","advertise","poll","research","fundraise","pay","materials","consulting","event","mail","travel","smedia","radio","television","website","newspaper"
"2248","C00665729",15799.21,NA,NA,NA,5477.09,NA,NA,1500,NA,NA,NA,NA,NA,NA,NA,NA
"2249","C00665752",943565.49,33996.49,NA,NA,101523.94,7866.89,NA,111510.76,53424.62,6248.83,34542.54,NA,NA,NA,NA,NA
"2250","C00665760",2716.66,NA,NA,NA,NA,NA,NA,940,NA,NA,NA,NA,NA,NA,NA,NA
"2251","C00665802",779624.81,73000,NA,3400,NA,NA,5131.6,31279.93,32837.89,60905.39,348.96,NA,NA,NA,NA,NA
"2252","C00665810",2482.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2253","C00665828",132682.48,30857.46,NA,NA,NA,18606.31,NA,13500,1250,NA,NA,NA,2217.5,NA,NA,NA
"2254","C00665836",702585.23,20046.59,24000,NA,52197.19,NA,NA,63469.3,16251.84,NA,247.79,250,NA,NA,1000,NA
"2255","C00665851",9841.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2256","C00665869",35741.58,NA,NA,NA,211.61,NA,NA,NA,165.27,400,NA,NA,NA,NA,NA,NA
"2257","C00665885",301166.57,44856.33,NA,NA,NA,25217.77,NA,32389.59,2660,39183.96,NA,NA,NA,NA,4500,NA
"2258","C00665893",9345.64,1536,NA,NA,NA,NA,718.46,NA,NA,NA,NA,NA,493,NA,1052.58,550
"2259","C00665919",5735.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,NA
"2260","C00665927",75631.32,NA,NA,NA,NA,NA,NA,5644.95,NA,605,NA,NA,NA,NA,372.2,NA
"2261","C00665935",50167.89,2996.93,NA,NA,3500,NA,NA,26324.48,914.5,NA,NA,NA,1280,NA,NA,NA
"2262","C00665968",22302.55,NA,NA,NA,2245,NA,NA,2245,3215.33,NA,NA,NA,NA,NA,NA,NA
"2263","C00665984",4798.26,NA,NA,NA,NA,NA,NA,NA,2198.26,NA,NA,NA,NA,NA,NA,NA
"2264","C00666057",3997.8,NA,NA,NA,NA,NA,NA,NA,NA,4.45,169.26,NA,NA,NA,127.67,NA
"2265","C00666073",588222.91,2672,20200,NA,500,NA,NA,112266.24,6435,NA,NA,NA,NA,NA,5400,NA
"2266","C00666081",10484.19,NA,NA,NA,NA,NA,NA,NA,6889.41,NA,NA,NA,NA,NA,NA,NA
"2267","C00666107",78624.69,26335.28,NA,NA,NA,NA,40,228,265,98.35,NA,NA,6125,NA,770,2500
"2268","C00666131",34909.34,1250,NA,NA,2669.5,NA,NA,23669.5,500,NA,800,NA,NA,NA,717,NA
"2269","C00666149",4666804.53,3326398.15,90250,32272.51,93787.48,208062.42,4009.1,273637.9,9153.51,164040.85,43047.28,NA,NA,NA,NA,NA
"2270","C00666156",7327.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.95,NA
"2271","C00666164",988317.16,168368.84,51052,8560.5,22589.66,133848.21,NA,49199.96,1073.24,3205.4,794.03,NA,NA,NA,NA,NA
"2272","C00666230",31426.06,1565,NA,NA,NA,NA,NA,2996.05,NA,NA,679.85,NA,1565,NA,NA,NA
"2273","C00666255",186444.45,3841.16,1050,NA,20300,60850.64,55190.17,38800,1375.2,574.9,NA,NA,NA,NA,NA,NA
"2274","C00666289",3321.85,NA,NA,NA,NA,NA,NA,1500,162.14,NA,41.13,NA,NA,NA,NA,NA
"2275","C00666313",32677.69,7548.18,NA,NA,NA,1965.77,NA,NA,NA,NA,328.95,NA,NA,NA,204.07,NA
"2276","C00666339",33269.13,NA,NA,NA,NA,NA,NA,525,NA,NA,NA,NA,NA,NA,NA,NA
"2277","C00666347",15921.82,2114.3,NA,NA,239.27,NA,NA,NA,3231.49,NA,4078.22,NA,NA,NA,NA,NA
"2278","C00666354",106415.89,30886.75,NA,NA,NA,19367,NA,1050,2700,NA,502.02,NA,2000,NA,NA,NA
"2279","C00666362",22019.59,1305.2,NA,NA,NA,NA,NA,6000,625,157.15,85.43,539.06,NA,NA,201.28,NA
"2280","C00666396",2165365.51,51701.21,42775,NA,77440.01,NA,NA,306942.17,10745.46,244838.2,3036.71,NA,NA,NA,1015.62,NA
"2281","C00666404",331798.9,74214.8,NA,NA,444.2,52302.09,NA,6374,1451.07,31970.29,1262.35,NA,NA,NA,NA,NA
"2282","C00666420",151482.37,18651.09,NA,NA,2172.82,NA,NA,30114.47,661.6,4740.92,290,250,NA,NA,689.58,NA
"2283","C00666438",33379.11,NA,NA,NA,250,10500,NA,5285,656.06,NA,NA,NA,NA,NA,428,NA
"2284","C00666453",1251950.06,15284.24,NA,NA,6136.94,NA,NA,159410.25,1956,8061.76,592.82,2700,NA,NA,2063.45,521.8
"2285","C00666461",911497.89,NA,30950,NA,58780.83,18730.89,NA,214819.63,2516.34,1501.48,14208.99,NA,NA,NA,194.4,NA
"2286","C00666479",240916.32,NA,NA,NA,7193.06,24687.96,NA,61121.18,1000,67902.04,NA,NA,NA,NA,4375,NA
"2287","C00666529",198027.02,106682.9,NA,220,27794.18,NA,NA,22300.81,NA,57158.92,NA,NA,4878,41847,1000,NA
"2288","C00666586",516736.2,NA,3500,2000,14959.15,NA,NA,16297.02,930,3350,9480.44,NA,NA,NA,NA,NA
"2289","C00666594",49183.28,3592.87,NA,NA,NA,NA,350.12,NA,550,175,700,NA,1467,NA,NA,1684
"2290","C00666644",15671.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2291","C00666651",360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"2292","C00666677",140828.89,NA,NA,41.48,NA,NA,NA,5312.55,1406.86,NA,6617.23,NA,NA,NA,1506,NA
"2293","C00666685",69099.64,2103.81,8000,500,NA,NA,NA,NA,NA,NA,NA,120.62,NA,NA,NA,NA
"2294","C00666693",9951.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2295","C00666735",1409005.3,122445.51,32461.4,20478,2457.91,260900.64,NA,20483.34,3511.92,49999.87,6933.73,NA,18370,NA,NA,645
"2296","C00666743",682539.05,186744.71,35800,8016.95,19235,196853.39,12257.97,131817.94,2150.08,64385.54,3772.29,NA,NA,70400,NA,NA
"2297","C00666768",43151.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2298","C00666792",8281.66,NA,NA,NA,NA,NA,NA,NA,5857.08,NA,NA,NA,NA,NA,NA,NA
"2299","C00666834",18388.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2300","C00666842",383597.82,92989.53,29000,20322.5,37176.48,32890.33,NA,NA,2023,NA,1084.5,NA,NA,50010,3990.53,NA
"2301","C00666859",754017.33,699938.11,NA,NA,355.68,NA,NA,74039.16,10106.66,144351.62,5218.91,17166.38,190909.47,357056.26,1200,NA
"2302","C00666867",280.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,237.74,NA
"2303","C00666883",129499.94,NA,NA,NA,20357.76,NA,NA,16174.85,NA,1486.88,NA,NA,NA,NA,1500,NA
"2304","C00666891",2242.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2305","C00666941",260760.21,6143.75,NA,NA,NA,12564.06,NA,5500,7349.58,NA,7982.4,800,1600,500,3697.02,1238.58
"2306","C00666966",1519722.75,49019.34,NA,170288.05,NA,NA,NA,406770.68,12953.8,22.35,7599.64,NA,NA,NA,NA,NA
"2307","C00667006",577326.49,15300,45000,NA,1906.18,NA,45250,55448.51,2126.3,168868.03,45000,NA,NA,NA,1650,NA
"2308","C00667063",37315.73,5000,NA,NA,NA,NA,NA,8500,NA,NA,NA,NA,NA,5000,NA,NA
"2309","C00667097",14157483.75,18346374.71,245970.79,75991.25,56554.92,1374408.13,NA,490760.98,15171.03,1528954.19,20809.78,NA,NA,8646987.23,NA,NA
"2310","C00667105",2599.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,510,NA,NA,NA,NA,NA
"2311","C00667121",4685.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,240.89,NA,NA,NA,NA,NA
"2312","C00667170",5888.1,NA,NA,NA,NA,3250,NA,500,NA,NA,NA,NA,NA,NA,NA,NA
"2313","C00667253",557555.24,1149,NA,20500,NA,NA,897.47,106520.87,4336.98,3509.45,278.47,NA,250,NA,NA,NA
"2314","C00667279",42407.05,NA,NA,NA,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,127.61,NA
"2315","C00667287",14452.38,1800,NA,NA,NA,NA,NA,NA,NA,NA,NA,350,NA,NA,2967.5,NA
"2316","C00667295",108873,NA,2500,NA,NA,NA,NA,NA,NA,532.82,NA,NA,NA,NA,NA,NA
"2317","C00667303",18840.57,NA,NA,NA,NA,NA,NA,NA,342.18,NA,1367.35,NA,NA,NA,NA,NA
"2318","C00667329",433314.39,NA,NA,NA,42751.63,NA,NA,48951.64,12524.84,NA,NA,NA,NA,NA,NA,NA
"2319","C00667352",5097.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2320","C00667378",53508.07,5250,NA,NA,NA,6608.45,NA,NA,1007.9,6699.1,NA,NA,NA,5250,NA,NA
"2321","C00667386",41972.96,NA,NA,NA,1230.95,3000,NA,5450,452.07,1280.9,NA,NA,NA,NA,580,NA
"2322","C00667436",584573.95,184972.38,18100,14155.73,281.12,159202.79,NA,66633.12,8988.39,13458.98,NA,NA,NA,NA,1636.7,717
"2323","C00667444",2340.3,69.98,NA,NA,NA,NA,200,NA,236.19,36.8,NA,NA,NA,NA,NA,NA
"2324","C00667451",16519.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,349,NA
"2325","C00667469",134987.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2326","C00667519",4220971.34,49582.25,130490,22457.07,28557.5,NA,NA,261225.97,15021.56,17508,28383.8,NA,300,295.24,NA,4000
"2327","C00667527",56987.8,400,NA,NA,NA,NA,NA,32792.18,NA,2100,56.77,NA,NA,NA,NA,NA
"2328","C00667543",5326.84,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500
"2329","C00667576",411484.86,9919.82,10000,NA,2830,113744.82,NA,9750,816.56,NA,5280.82,NA,NA,NA,216,NA
"2330","C00667584",43564.28,650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,650,NA,NA,NA
"2331","C00667600",18000.44,NA,NA,NA,NA,NA,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA
"2332","C00667626",1677.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2333","C00667634",197174.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2334","C00667675",298586.62,11474,2850,NA,30993.83,NA,NA,20717.32,11779.77,41128.76,NA,NA,NA,NA,2311,2424
"2335","C00667709",3918.4,342.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2336","C00667733",4016.68,NA,NA,NA,554.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2337","C00667741",1646499.2,1472.66,3000,43725,60809.99,345842.68,NA,364989.49,7371.52,114231.47,43169.13,NA,NA,NA,10303.82,NA
"2338","C00667758",445335.36,NA,NA,31250,5708.24,96952.7,NA,158389.25,962.5,70663.9,5279.9,NA,NA,NA,NA,NA
"2339","C00667808",35171.27,8000,NA,NA,NA,NA,NA,2000,410.76,NA,NA,NA,NA,NA,254.53,NA
"2340","C00667832",48181.15,625,NA,NA,11599.88,NA,NA,17349.88,1250,NA,2969.46,NA,NA,NA,1856.4,NA
"2341","C00667840",299508.18,NA,20500,NA,23291.84,12175,NA,8576,1918.93,132632.41,72.89,NA,NA,NA,1600,NA
"2342","C00667915",485268.05,19141.25,24614.44,3000,3600,74238.85,NA,46858.39,371.33,2683.95,NA,NA,NA,14141.25,1700.77,NA
"2343","C00667923",755.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2344","C00667931",61535,22666.11,NA,NA,NA,NA,NA,9004.25,NA,5000,NA,NA,3195.86,NA,475,NA
"2345","C00667949",159098.49,8115.6,NA,NA,1462.53,NA,NA,11820.25,NA,1225.74,268.48,NA,NA,NA,NA,NA
"2346","C00667964",8558236.92,9829.61,143878.76,22000,19805.97,70448.01,NA,110525.55,4404.96,6563.56,8511.95,NA,NA,NA,6900,NA
"2347","C00667998",63344.86,11598,NA,NA,NA,NA,12135.95,NA,1111.43,NA,305.08,NA,NA,NA,NA,NA
"2348","C00668020",1438.61,NA,NA,NA,NA,NA,NA,NA,202.56,NA,NA,538.9,NA,NA,NA,NA
"2349","C00668061",51027,7240.73,NA,NA,NA,8800,NA,10983.84,NA,NA,NA,NA,NA,NA,NA,NA
"2350","C00668087",219810.23,NA,NA,NA,NA,4000,5416.64,NA,3780.24,NA,867.12,NA,NA,NA,1200,NA
"2351","C00668129",122988.84,250,NA,NA,4710.9,NA,NA,11710.9,500,NA,NA,NA,NA,NA,NA,250
"2352","C00668137",266326.58,6050,NA,NA,4360.21,NA,463.95,105421.87,7620,49419.05,350.3,NA,1525,NA,NA,1500
