committee_id,consulting
C00662577,161477.02
C00667758,158389.25
C00459099,402486.04
C00668137,105421.87
C00476291,329360.2
C00664565,39314.6
C00658633,83545.69
C00652800,347723.75
C00370056,225018.37
C00466516,121600
C00641001,128939.14
C00658583,247095.23
C00655043,82195.71
C00651521,41243.67
C00631002,42644
C00652636,98051.85
C00673343,202544.92
C00390724,236223.29
C00459297,628659.54
C00575092,267819.33
C00646612,92220.38
C00650531,50096.96
C00671412,16905.02
C00660449,14375
C00677666,42240.61
C00632067,202523.62
C00668939,4000
C00410969,680536.77
C00405431,70740.22
C00257121,69919.08
C00327023,84000
C00677898,154367.61
C00518654,558371.68
C00667436,66633.12
C00664763,3015
C00632059,26415.71
C00641381,187456.61
C00659177,104752.12
C00575050,412041.39
C00666164,49199.96
C00655571,159960.31
C00677096,51094.57
C00654574,245271.52000000002
C00458679,314775.14
C00580316,100222.7
C00667386,5450
C00641035,7500
C00560847,20500
C00666461,214819.63
C00675108,189674.65
C00472365,964671.72
C00675215,230235.61
C00665109,51612.5
C00662874,30621.83
C00655548,187860.62
C00547893,910244.7
C00301838,222466.16999999998
C00450049,182050
C00647131,538623.97
C00613497,103826.91
C00464602,223715.54
C00666743,131817.94
C00670679,154012.65
C00662619,33045.72
C00290064,92008.07
C00556365,431293.91
C00649061,47270
C00665216,9680.51
C00638767,59051.59
C00443689,458975.23
C00638254,33466.07
C00460063,223823.13
C00577999,193226.79
C00590463,185932.96
C00653121,112890.93
C00652958,104960.28
C00660431,37485.96
C00630434,12635.75
C00166504,198798.64
C00572859,137268.54
C00650440,96410.26
C00557181,196005.66
C00659292,20000
C00671875,15695.03
C00541862,624410.54
C00662981,34963.47
C00631572,324605.18
C00513077,859836.85
C00513531,84494.81
C00514513,280301.1
C00649327,103067
C00520379,339404.53
C00502229,60282.11
C00639419,13300
C00516666,304279.73
C00371302,225712.87
C00661769,29277
C00636860,12323.52
C00664151,318482.27
C00665034,25069.54
C00652719,311155.07
C00663591,91251
C00687988,1000
C00238865,86639.64
C00116632,263412.69
C00649079,189851.71
C00408534,94901.52
C00649798,87298.57
C00649483,61090.29
C00588764,110477.96
C00617662,202323.44
C00608695,210068.71
C00667741,364989.49
C00289603,230889.5
C00583781,1000
C00444968,73570.67
C00648006,355872.94
C00664797,28950
C00394957,6468969.39
C00573949,229166.72
C00687749,33074.380000000005
C00673319,16956.88
C00657171,64656.56
C00540617,569430.79
C00684225,12500
C00675025,28877.41
C00673905,15270.01
C00673749,500
C00660530,169088.41
C00661561,204724.78
C00664599,51210.14
C00659615,2000
C00646752,253092.95
C00312017,185331.28
C00633982,4854384.51
C00639740,95840.91
C00657387,40104.81
C00634923,57354.92
C00639005,44000
C00634709,1141762.71
C00592345,39718.4
C00543231,87618.31
C00083428,76000
C00608703,507305.31
C00202416,754191.42
C00658021,8688
C00663203,43659.11
C00651042,433401.94
C00655795,71781.05
C00650705,32500
C00639096,25763.87
C00462143,324481.79
C00660852,15184
C00658070,48125
C00650358,62980.39
C00656918,6000
C00647727,44135.7
C00652172,75617.07
C00637587,35681
C00635854,6308
C00555813,667781.34
C00652107,473167.55
C00435370,40000
C00607200,525279.58
C00571869,805328.07
C00651497,89814.08
C00655621,393.98
C00272153,4158.07
C00602722,687290.55
C00660803,21923.08
C00657395,6600
C00472241,345013.26
C00374058,81095.52
C00649285,11430
C00608828,1825
C00659433,9837.79
C00638478,169775.17
C00656066,32820
C00658310,42423.23
C00654848,5633
C00653204,562163.22
C00649947,105319.41
C00637991,38141.52
C00650572,20208
C00650655,158281.97
C00661009,5279.3
C00661066,4822.58
C00658179,1750
C00373464,400370.61
C00658500,17700
C00658393,22196.37
C00652214,31280
C00639583,7962.22
C00650838,13500
C00653410,198925.98
C00637090,106081.64
C00648683,36076.06
C00656215,93566
C00648915,107668.69
C00287912,203023.17
C00650887,26800
C00658567,2785638.29
C00652271,69635.4
C00633610,588928.52
C00655555,2975
C00591065,67940.04
C00646646,116897.65
C00476820,513041.77
C00446906,94350
C00654194,3400
C00441352,292235.03
C00636555,25426.28
C00657486,28582.3
C00454694,84000
C00635995,10500
C00647461,500
C00631416,9662.95
C00636092,96922.81
C00656892,546.79
C00639567,150
C00639252,129734.32
C00655514,1125
C00649988,65062.95
C00635888,284014.07
C00649863,59215.76
C00653089,26008.59
C00613539,16999.61
C00592154,237136.82
C00649459,81381.03
C00656223,30873.33
C00446815,52445.66
C00638619,908.4
C00639971,23629.94
C00636969,51859.61
C00369801,78250
C00658146,1615.89
C00650259,140085.13
C00653048,35980.94
C00647958,6500
C00638940,17732.92
C00664292,5475.48
C00655381,15000
C00635870,35126.98
C00464073,21332.31
C00661165,451831.9
C00636399,16646
C00654178,50139.58
C00638825,12592.5
C00286187,176500
C00657726,6821.05
C00435099,171664.83
C00629881,5300
C00658641,71250
C00655175,23843.65
C00648949,66606.5
C00647164,1470790.2
C00663302,7800
C00650283,24425
C00661132,485
C00652776,68905.85
C00573980,158954.38999999998
C00657890,13600
C00647115,154011.49
C00386748,458948.21
C00649228,56390.99
C00650689,1000964.12
C00659284,2514.5
C00662460,10000
C00653550,1994
C00655225,76043.06
C00652495,109447.25
C00612796,385.25
C00614776,82614.15
C00656785,10829.21
C00640896,12907.97
C00647024,276400.69
C00647925,389976.9
C00597724,679601.24
C00650499,11246
C00392670,117190.83
C00654749,89836.79
C00639211,81282.96
C00658187,32861
C00661835,23783.74
C00195065,13000
C00640151,14034.38
C00638726,187776.09
C00413179,96226
C00343871,818756.74
C00638346,3125
C00649020,44035.31
C00653584,12592.67
C00471896,1494.77
C00302422,6200
C00578732,1926.55
C00463620,92.04
C00579102,406.52
C00477984,3500
C00543843,51701.26
C00458976,88500
C00652354,22507.64
C00650895,17459.68
C00670059,5250.2
C00224691,308107.93
C00649178,101853.43000000001
C00254185,53850
C00651281,16790.25
C00656983,1700
C00636324,170825.46
C00654830,33855.91
C00422410,418892.14
C00310532,605164.76
C00649558,718575.55
C00652925,2400
C00602920,25487.5
C00213512,1187137.65
C00659276,1500
C00543926,145937.76
C00647321,400
C00658351,172564.03
C00460980,490.6
C00637363,33086.09
C00610964,239788.22
C00647537,598351.55
C00653832,940
C00649368,14000
C00657627,1300
C00673350,63015.74
C00650697,166462.43
C00499947,118691.4
C00648220,200665.25
C00637371,126202.28
C00637892,50809.7
C00662775,21593.67
C00636738,37961.48
C00661181,2500
C00662973,29811.11
C00558213,256904.7
C00633370,2000
C00648493,408186
C00140715,257580
C00655118,2582.71
C00657510,3000
C00634188,3200
C00561530,86511.64
C00658104,2700
C00670570,14247.9
C00651158,37265.48
C00671511,42890.68
C00657320,82957.3
C00554949,633280.19
C00671107,5694.77
C00655274,59796.84
C00652784,22500
C00639898,81467.72
C00656371,485935.56
C00658435,17700
C00555888,168388.99
C00669481,56202.17
C00558510,11193.08
C00561183,69385.29
C00563940,319030.9
C00637074,78046.67
C00638353,386.17
C00474189,328800
C00658997,16075.37
C00575126,95509.25
C00652735,31920.12
C00576041,712496.44
C00629691,42654.46
C00656165,11182.51
C00649905,600
C00586065,86400
C00662130,134485.9
C00629675,24100
C00615260,6364.58
C00401034,191548.62
C00654434,35783.95
C00649756,12143.05
C00628917,321391.17
C00654780,82122.92
C00665471,769813.22
C00650929,78700.32
C00649731,52700
C00607432,30242
C00668061,10983.84
C00647214,1250
C00669176,13907.55
C00675611,80.28
C00652651,113408.74
C00658625,32155.739999999998
C00649848,86029.62
C00670604,74490.43
C00649673,17869.920000000002
C00685735,3590
C00676189,5030.95
C00668483,250
C00244335,229114.81
C00600718,182622.48
C00677112,5500
C00658740,9466
C00674911,6000
C00665885,32389.59
C00582015,4000
C00671537,56781.2
C00653733,38485
C00672113,1566.08
C00684167,1603.78
C00675637,17010
C00410753,85000
C00257337,176168.06
C00680553,57578.33
C00384057,291150
C00657825,54750
C00458877,435827.78
C00677377,14410.23
C00477745,207789.97
C00663849,95592.93
C00333740,80000
C00654079,321795.02
C00668491,331000.28
C00668806,60573.21
C00677583,37845.95
C00334706,51762.67
C00667006,55448.51
