committee_id,event
C00653121,4849.25
C00561530,138257.15
C00662874,1846.25
C00556365,146338.92
C00443689,45575.67
C00373001,26423.19
C00662619,18832.6
C00614214,40910.44
C00639559,1314.3
C00577999,6079.64
C00590463,21733.11
C00662940,3133.75
C00166504,30231.71
C00662981,300
C00653915,75.92
C00673236,400
C00652958,5932.91
C00572859,3254.86
C00671081,229.98
C00659292,500
C00513077,41066.76
C00650507,17589.56
C00573949,14535.39
C00649483,15651.04
C00663591,8117.54
C00670505,1312.41
C00631572,18922.5
C00638403,70
C00647057,13130.43
C00520379,22831.71
C00639526,12048.09
C00639419,35073.72
C00372532,4206
C00660555,21754.72
C00516666,115361.48
C00635870,2392.32
C00371302,37460.77
C00661769,7401.96
C00665588,837.23
C00664151,5582.37
C00652719,41672.79
C00649079,14197.54
C00408534,183887.35
C00649798,17922.37
C00636779,1250
C00467571,300
C00668194,1188.82
C00617662,69548.95
C00285171,55465.26
C00683888,1199.98
C00667741,7371.52
C00638510,32844.57
C00582296,8326.62
C00649897,8301.81
C00664797,2726.75
C00574640,14264.66
C00687749,1000
C00540617,45944.3
C00671982,1289.65
C00253187,51290.729999999996
C00661561,55740.72
C00646752,11115.01
C00649327,6026.32
C00607200,85707.83
C00592048,38042.74
C00633982,22543.17
C00541862,366997.18
C00637462,167.48000000000002
C00541888,26487.09
C00460550,51423.06
C00634709,23131.38
C00083428,3854.0099999999998
C00660472,16397.05
C00610964,32937.11
C00545673,16261.4
C00462143,45101.82
C00650705,2589.08
C00660852,2235.47
C00651042,22436.29
C00652107,11867.21
C00555813,75008.99
C00386532,8450.16
C00635722,11152.4
C00650457,15577.67
C00666420,661.6
C00659326,329
C00653840,1531.8500000000001
C00636845,6373.82
C00650036,1385.86
C00638478,1341.7
C00661009,1500
C00660720,2678.8
C00613497,3330.66
C00647198,250
C00660217,1000
C00639252,3652.27
C00658500,3627.18
C00650887,2952.8599999999997
C00154625,8821.16
C00652800,14672.07
C00641175,2861.5
C00656066,6942.75
C00652271,3256.14
C00654558,3983.25
C00649947,3825.15
C00519355,3479.5
C00558510,27021.239999999998
C00607416,4415.97
C00648683,1338.78
C00652214,731.94
C00660340,414.44
C00639310,19738.56
C00648915,11805.04
C00661637,34843.93
C00633610,85250.99
C00640409,2219.74
C00657833,2034
C00657486,1426.84
C00652784,1426.91
C00612432,3005.38
C00629659,8814.42
C00647131,18315.27
C00635888,37399.9
C00257121,11114
C00649863,2691.63
C00543363,24830.62
C00652669,124.95
C00588764,34726.25
C00661165,112615.35
