committee_id,payroll
C00662650,26480.62
C00398644,205369.41
C00512970,95330.62
C00657056,39732.96
C00667758,96952.7
C00667436,159202.79
C00385773,92186.14
C00476291,22105.17
C00640839,10862.32
C00660449,13658.9
C00646612,70960.22
C00677666,109086.22
C00656785,43672.1
C00638973,31767.99
C00477240,128288.56
C00658633,65562.81
C00573949,304767.94
C00552588,26093.75
C00631002,20148.74
C00561530,9632.16
C00675538,18750.9
C00575092,204357.35
C00652800,120148.72
C00650531,157579.97
C00435099,392520.4
C00671412,43177.09
C00676627,3802.92
C00673343,26936.34
C00677096,152100.19
C00405431,22884.19
C00664565,36246.409999999996
C00659177,59711.6
C00662577,388800.55
C00580316,188538.81
C00665364,45566.47
C00651521,34888.45
C00641035,102717.03
C00653121,767460.74
C00662213,161386.22
C00662619,226341.76
C00666743,196853.38999999998
C00675215,11748
C00662874,131994.92
C00647131,421294.22
C00464602,27251.17
C00650507,269892.71
C00373001,154008.69
C00558213,53954.89
C00649061,32130.09
C00649210,4016.25
C00650242,45901.26
C00476820,125060.12
C00286500,12491.88
C00675108,108866.98
C00547893,223600.66
C00301838,53451.380000000005
C00443689,28652.579999999998
C00665109,7000
C00613497,144018.34
C00631572,116928.38
C00577999,49842.36
C00590463,105753.21
C00659292,18699.850000000002
C00650440,23782.47
C00541862,227718.76
C00657486,47241.87
C00660431,29823.61
C00513077,416798.49
C00514513,40646.07
C00660530,136397.97
C00520379,16662.76
C00639419,91949.76
C00516666,123291.16
C00519355,332.25
C00635870,8205
C00371302,21285.86
C00657676,11490.95
C00459099,14409.6
C00663591,40888.45
C00649079,103216.28
C00408534,37754.02
C00649798,477678.72
C00677898,108190.59
C00479063,18797.68
C00617662,38250
C00608695,18569.45
C00657098,545
C00667741,285247.59
C00647925,695180.7
C00648006,148753.26
C00649897,200906.71
C00253187,40082.72
C00661561,208852.37
C00561001,79492.45
C00649012,42685.44
C00664599,168355.91
C00658567,352915.81
C00633057,16395.64
C00649459,237792.6
C00639740,8324.67
C00633982,515104.53
C00634709,610992.99
C00654178,216015.11
C00647164,610028.1
C00655225,121393.26
C00652776,129933.05
C00597724,368325.58
C00310532,124277.22
C00649558,435070.63
C00610964,145920.91
C00640003,589462.86
C00650358,143140.16
C00462143,68292.98
C00651042,514392.1
C00458976,38229.46
C00307314,439967.86
C00652107,512749
C00652172,168730.34
C00650036,390730.16
C00257337,18340.24
C00657825,66601.37
C00641365,11543.41
C00650895,21704.16
C00435370,136942.58
C00607200,354808.83
C00639583,23778.21
C00344697,318611.01
C00639252,269444.17
C00373464,36858.7
C00648915,368919.73
C00446906,71662.49
C00379735,121594.52
C00658393,66672.62
C00347492,45345.840000000004
C00656215,9698.86
C00579599,5857
C00637678,113844.65
C00612432,2559.55
C00652784,23552.65
C00630426,1268313.71
C00638940,18960
C00254581,64000
C00446815,213086.6
C00613539,5000
C00653816,492789.65
C00650283,39752.32
C00605592,138861.6
C00658062,410.69
C00652495,139419.66
C00650689,437183.36
C00647115,283757.89
C00649095,26680.23
C00650499,25392.73
C00464149,7500
C00658997,65547.36
C00409409,115343.29
C00343871,52245.91
C00575050,945.05
C00572859,396621.82
C00638726,426377.33
C00422410,1161384.4
C00354688,278748.59
C00413179,41793.68
C00367862,107629.83
C00454694,35599.18
C00224691,65341.9
C00637074,124690.91
C00651117,34219.68
C00647537,229537.65
C00195065,293107.51
C00364935,23922.57
C00338954,108225.56
C00648220,234312.02
C00434191,152935.01
C00393348,4504.74
C00648493,175265.11
C00140715,123684.36
C00664771,2298
C00630798,5000
C00546358,902.5
C00652792,110085.78
C00656371,320022.16
C00550871,4086.3199999999997
C00629675,203470.3
C00669481,88034.18
C00630517,37714.94
C00629691,17011.239999999998
C00571869,69584.63
C00649756,126503.96
C00577353,4318.27
C00662130,46753.8
C00630061,72129.44
C00653162,6419.43
C00662601,8030.71
C00390476,127089
C00654780,222994.06
C00665471,314487.01
C00639989,327395.31
C00650929,107117.06
C00649731,7598.6900000000005
C00640474,17401.72
C00648972,16979.61
C00652651,555103.93
C00658625,21609.93
C00634188,260
C00670604,3500
C00649673,53128.83
C00663450,9199.43
C00578302,2741.46
C00665885,5416.84
C00653733,60069.48
C00675876,729.24
