,candidate_id,candidate_name,candidate,party,state,district,incumbent_challenge,committee_id,committee_name,total,advertise,poll,research,fundraise,pay,materials,consulting,event,mail,travel,smedia,radio,television,website,newspaper
362,H8FL20032,CHERFILUS-MCCORMICK,Cherfilus-Mccormick,DEM,FL,20,C,C00677492,"SHEILA CHERFILUS MCCORMICK FOR CONGRESS, INC",38924.36,3000,NA,NA,NA,NA,NA,2000,335.99,NA,NA,550,3000,NA,650,NA
363,H8FL21055,JETTA,Jetta,REP,FL,21,C,C00657387,"KURT JETTA FOR CONGRESS, INC.",504106.82,5500,NA,14880,27138.95,NA,NA,40104.81,313,436.31,581.58,NA,NA,NA,NA,NA
364,H8FL21063,SCHWARTZ,Schwartz,REP,FL,21,C,C00669176,DEREK A. SCHWARTZ FOR CONGRESS,85613.72,769.8,NA,NA,NA,NA,1088.73,13907.55,2000,NA,NA,NA,NA,NA,NA,769.8
365,H8FL22061,KIMAZ,Kimaz,REP,FL,22,C,C00661629,KIMAZ FOR CONGRESS,202309.24,4005,3519.87,NA,10487.25,NA,NA,54135.9,825.5,552.85,NA,4000,NA,NA,1075,NA
366,H8FL22079,MANJARRES,Manjarres,REP,FL,22,C,C00675603,JAVIER MANJARRES FOR CONGRESS,87240.56,8303.59,NA,NA,586.25,NA,NA,NA,145,12761.66,1185.47,2106.72,NA,NA,1248.41,NA
367,H8FL22087,FANDL,Fandl,DEM,FL,22,C,C00676650,JEFF FANDL FOR CONGRESS,26629.49,193.94,NA,NA,NA,NA,NA,NA,NA,NA,3088.33,NA,NA,NA,NA,NA
368,H8FL23051,REYES,Reyes,REP,FL,23,C,C00652693,"CARLOS J REYES FOR CONGRESS COMMITTEE, INC.",382984.54,1676.33,NA,NA,50397.48,NA,NA,198601.99,16810.19,NA,6696.58,NA,NA,NA,129,NA
369,H8FL24059,SOLA,Sola,REP,FL,24,C,C00637819,SOLA FOR FLORIDA,99000,NA,NA,NA,NA,NA,NA,2500,NA,NA,NA,NA,NA,NA,NA,NA
370,H8FL24067,DE LA FUENTE,De La Fuente,DEM,FL,24,C,C00677997,RICARDO DE LA FUENTE FOR CONGRESS FLORIDA,74276.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
371,H8FL25023,KARIM,Karim,DEM,FL,25,C,C00675975,KARIM FOR CONGRESS,20627.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,267.4,NA
372,H8FL26021,MACHAT,Machat,DEM,FL,26,C,C00649541,STEVEN MACHAT FOR CONGRESS,2836.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
373,H8FL26039,MUCARSEL-POWELL,Mucarsel-Powell,DEM,FL,26,I,C00652065,DEBBIE FOR CONGRESS,4881890.36,61088.74,80200,24938.89,50981.73,594006.64,NA,144681.05,8103.76,40878.1,44776.18,NA,NA,54088.74,9153.29,NA
374,H8FL26054,GRIMES,Grimes,DEM,FL,26,C,C00666677,GRIMES FOR CONGRESS,140828.89,NA,NA,41.48,NA,NA,NA,5312.55,1406.86,NA,6617.23,NA,NA,NA,1506,NA
375,H8FL26062,FAAS,Faas,REP,FL,26,C,C00681932,SOURAYA FAAS CAMPAIGN,10440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
376,H8FL27011,HEPBURN,Hepburn,DEM,FL,27,O,C00636381,HEPBURN FOR CONGRESS,35158.72,NA,NA,NA,NA,700,NA,9048.7,NA,4066.04,NA,NA,NA,NA,317.07,NA
377,H8FL27029,ROSEN GONZALEZ,Rosen Gonzalez,DEM,FL,27,O,C00637546,KRISTEN ROSEN GONZALEZ CAMPAIGN COMMITTEE,393771.84,82298.71,NA,2424.38,2700,NA,NA,80146.04,25186.58,4608.78,3002.27,3000,2647.6,NA,1000,3200
378,H8FL27037,BARREIRO,Barreiro,REP,FL,27,O,C00639807,BRUNO A BARREIRO CAMPAIGN,475205.71,2972.7,17500,NA,79092.8,NA,NA,124538.8,3500,47008.03,NA,2422.7,NA,NA,1738,NA
