"","committee_name","committee_id","candidate_name","candidate_id","party","state","district","region","incumbent_challenge","hold_flip","win_per","lose_per","delta","total","advertise","poll","research","consulting","fundraise","pay","materials","travel","event","mail","radio","television","newspaper","smedia","website","per_advertise","per_poll","per_research","per_consulting","per_fundraise","per_pay","per_materials","per_travel","per_event","per_mail","per_radio","per_television","per_newspaper","per_smedia","per_website"
"15","ELECT DR. MCKELLAR U.S. CONGRESS","C00506287","MCKELLAR, SHIRLEY JONETTA  DR","H2TX01062","DEM","TX",1,"south","C","GOP Hold",72.3,26.3,46,43906.99,2264.57,NA,NA,NA,NA,NA,NA,NA,1426.22,NA,1018,1246.57,NA,NA,NA,0.0515765257422565,NA,NA,NA,NA,NA,NA,NA,0.0324827550237445,NA,0.0231853743561105,0.028391151386146,NA,NA,NA
"16","WENDYROGERS.ORG","C00510958","ROGERS, WENDY","H2AZ09035","REP","AZ",1,"west","C","Dem Hold",53.8,46.2,7.6,1428423.86,8270.29,155549.91,2535,90562.75,91812.31,NA,NA,3654.03,NA,3775.75,2096.88,NA,NA,NA,370,0.00578980107487143,0.108896185758196,0.00177468332123772,0.0634004741421779,0.0642752565054465,NA,NA,0.00255808524508965,NA,0.0026432980474017,0.00146796763812108,NA,NA,NA,0.000259026756945939
"17","ELECT APRIL FREEMAN","C00541359","FREEMAN, APRIL JUNE","H4FL19058","DEM","FL",17,"south","O","GOP Hold",62.3,37.7,24.6,2192.8,142.53,NA,NA,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0649990879241153,NA,NA,0.114009485589201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","DALE K MENSING FOR CONGRESS","C00543553","MENSING, DALE KENNETH","H4CA02098","REP","CA",2,"west","C","Dem Hold",77,23,54,4907.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"19","BLUM FOR CONGRESS","C00543926","BLUM, RODNEY","H2IA01055","REP","IA",1,"midwest","I","Dem Pickup",51,45.9,5.1,2771643.63,1557413.52,29453,NA,145937.76,60740.68,NA,NA,1121.2,4290.87,90732.85,NA,1329835.38,112535.57,1898.16,388.94,0.561909728632754,0.0106265465304427,NA,0.0526538687803814,0.0219150396329993,NA,NA,0.000404525310492388,0.00154813192921198,0.0327361169444428,NA,0.479800276487926,0.0406024673525579,0.000684849949486471,0.000140328285999741
"20","CARLOS CURBELO CONGRESS","C00546846","CURBELO, CARLOS MR.","H4FL26038","REP","FL",26,"south","I","Dem Pickup",50.9,49.1,1.8,5317829.42,7729.45,90144.76,90500,1028783.81,698392.26,6328.96,NA,31235.64,58041.81,53203.26,NA,NA,99.95,NA,NA,0.00145349716764702,0.0169514200024867,0.0170182216939181,0.193459347554627,0.131330323867365,0.00119013971681702,NA,0.00587375741736372,0.0109145678463677,0.0100046947350184,NA,NA,1.87952625227306e-05,NA,NA
"21","WALTERS FOR CONGRESS","C00546853","WALTERS, MIMI","H4CA45097","REP","CA",45,"west","C","Dem Pickup",52.1,47.9,4.2,6117614.5,301601.18,NA,1000,263042.19,597846.21,301176.33,2240.57,94431.33,356249.39,764572.12,NA,NA,NA,NA,NA,0.0493004552673268,NA,0.000163462408427337,0.0429975098954012,0.0977253813557556,0.0492310082631065,0.000366248968450039,0.0154359726327967,0.0582333832901697,0.124978800151595,NA,NA,NA,NA,NA
"22","LAPOLICE FOR KANSANS","C00552810","LAPOLICE, ALAN","H4KS01059","DEM","KS",1,"midwest","C","GOP Hold",68.4,31.6,36.8,205065.1,28217.75,1200,2800,8950,NA,21000,NA,1282.16,2732.59,131.96,4411.75,8576.85,2473.65,NA,NA,0.137603863358514,0.00585180023319424,0.0136542005441199,0.0436446767392404,NA,0.102406504080899,NA,0.00625245348916027,0.0133254756660202,0.000643502965643593,0.0215138997323289,0.0418250106917267,0.0120627547057008,NA,NA
"23","STEVE KNIGHT FOR CONGRESS","C00554014","KNIGHT, STEVE","H4CA25123","REP","CA",25,"west","I","Dem Pickup",54.4,45.6,8.8,2793469.07,2848639.57,65112,NA,312152.2,237231.73,213541.92,NA,64317.85,56503.23,89011.37,1162257.56,50074.22,NA,11941.77,NA,1.01974981595196,0.0233086525636742,NA,0.111743567649382,0.0849237002649183,0.0764432734528183,NA,0.0230243644688001,0.020226903747318,0.0318640972101402,0.416062440956255,0.0179254606889204,NA,0.00427488892869682,NA
"24","COMSTOCK FOR CONGRESS","C00554261","COMSTOCK, BARBARA","H4VA10089","REP","VA",10,"south","I","Dem Pickup",56.2,43.8,12.4,6898680.54,3032695.87,121857.59,33330.03,679580.32,405870.39,556336.07,NA,NA,11439.59,781148.75,NA,NA,975.82,NA,13599,0.439605204562784,0.0176638980879668,0.00483136301307844,0.0985087388899443,0.0588330460653567,0.0806438371474438,NA,NA,0.00165822869078672,0.113231616607079,NA,NA,0.000141450237381191,NA,0.00197124651897564
"25","FRIENDS OF DAVE BRAT INC.","C00554949","BRAT, DAVID ALAN MR.","H4VA07143","REP","VA",7,"south","I","Dem Pickup",50.4,48.4,2,3498879.51,1731655.76,72700,30250,633280.19,258451.88,86647.75,15460.09,23423.87,132587.37,182688.43,NA,NA,NA,NA,2178.3,0.494917231373881,0.020778080466109,0.00864562495322967,0.180995140927274,0.073867042080566,0.0247644280840068,0.00441858313663393,0.00669467751977547,0.037894237175375,0.0522134098867554,NA,NA,NA,NA,0.00062257073836761
"26","TOM MACARTHUR FOR CONGRESS INC.","C00557520","MACARTHUR, THOMAS","H4NJ03130","REP","NJ",3,"northeast","I","Dem Pickup",50,48.7,1.3,4960624.32,150575.38,127500,6250,261767.86,199259.64,307997.86,NA,123633.66,13714.98,3122.84,NA,NA,11750,NA,389.8,0.030354118813819,0.0257024099740736,0.00125992205755263,0.0527691361235757,0.0401682584985593,0.0620885275988809,NA,0.0249230040463939,0.0027647689313429,0.000629525599713223,NA,NA,0.00236865346819894,NA,7.85788188854422e-05
"27","STEVE RUSSELL FOR CONGRESS","C00558510","RUSSELL, STEVEN DANE","H4OK05132","REP","OK",5,"south","I","Dem Pickup",50.7,49.3,1.4,1017042.11,3193.08,28128.02,NA,11193.08,125943.58,46343.8,NA,NA,27021.24,7541.58,NA,NA,NA,NA,1185,0.00313957501720356,0.0276566916191897,NA,0.011005522672016,0.12383320096746,0.0455672381156371,NA,NA,0.0265684574260155,0.00741520918932255,NA,NA,NA,NA,0.00116514349636909
"28","JANET GARRETT FOR CONGRESS COMMITTEE","C00560847","GARRETT, JANET PATRICIA MRS.","H4OH04046","DEM","OH",4,"midwest","C","GOP Hold",65.3,34.7,30.6,704588.1,440390.36,19500,NA,20500,2540,43709.64,NA,4744.05,7269.29,2190.88,NA,NA,NA,3675,459.69,0.625032355783471,0.0276757441688271,NA,0.0290950131005619,0.0036049430866062,0.0620357340693094,NA,0.00673308277559613,0.0103170774527699,0.00310944791715898,NA,NA,NA,0.00521581332412512,0.000652423735229136
"29","MIKE BISHOP FOR CONGRESS","C00561001","BISHOP, MIKE","H4MI08135","REP","MI",8,"midwest","I","Dem Pickup",50.6,46.8,3.8,3394361.28,115820,NA,22000,NA,NA,79492.45,NA,5281.08,25173.89,2503.6,NA,NA,NA,NA,4805.45,0.0341212942424326,NA,0.00648133718989394,NA,NA,0.0234189714773084,NA,0.00155583910030932,0.00741638497596814,0.00073757617220993,NA,NA,NA,NA,0.00141571553632617
"30","TENNEY FOR CONGRESS","C00561183","TENNEY, CLAUDIA","H4NY22051","REP","NY",22,"northeast","I","Dem Pickup",50.9,49.1,1.8,195554.45,NA,NA,NA,69385.29,37703.16,2524.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.354813147949331,0.192801339984848,0.0129116979951108,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","JACOB TURK FOR CONGRESS 2014","C00563668","TURK, JACOB","H6MO05189","REP","MO",5,"midwest","C","Dem Hold",61.7,35.6,26.1,81943.91,1547.3,NA,NA,NA,NA,NA,1669.5,NA,NA,35560.21,797.3,NA,NA,724.33,159,0.0188824282365828,NA,NA,NA,NA,NA,0.0203736921999451,NA,NA,0.433957935373111,0.00972982617012051,NA,NA,0.00883933900640084,0.00194035163809001
"32","KELLER4AMERICA","C00569707","KELLER, CRAIG","H4WA07073","REP","WA",7,"west","C","Dem Hold",83.6,16.4,67.2,26951,NA,NA,NA,NA,NA,NA,NA,351,NA,20406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0130236354866239,NA,0.757151868205261,NA,NA,NA,NA,NA
"33","COFFMAN FOR CONGRESS 2016","C00570457","COFFMAN, MIKE REP.","H8CO06138","REP","CO",6,"west","I","Dem Pickup",54.1,42.9,11.2,67634.87,NA,NA,NA,28289.08,26289.08,NA,NA,935.74,13118.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.418261763495664,0.388691218006333,NA,NA,0.0138351711180934,0.193956460624527,NA,NA,NA,NA,NA,NA
"34","DONOVAN FOR CONGRESS","C00571869","DONOVAN, DAN","H6NY11174","REP","NY",11,"northeast","I","Dem Pickup",53,46.6,6.4,3099635.78,1093390.81,77070,NA,805328.07,258195.07,77724.63,NA,NA,16213.8,135116.59,NA,NA,NA,NA,5360,0.352748157398028,0.0248642116268254,NA,0.259813773991214,0.0832985190279356,0.0250754074080278,NA,NA,0.00523087264143015,0.0435911183087453,NA,NA,NA,NA,0.00172923542649259
"35","JUSTIN FAREED FOR CONGRESS","C00572560","FAREED, JUSTIN","H4CA24142","REP","CA",24,"west","C","Dem Hold",58.6,41.4,17.2,1550636,516826.42,NA,NA,136044.8,23896.39,NA,NA,5610.53,15615.35,80855.42,34227.5,393170.01,NA,NA,6600,0.333299639631738,NA,NA,0.0877348391240755,0.0154107024472539,NA,NA,0.00361821214005092,0.0100702872885706,0.0521433914858161,0.0220732009317467,0.253554032022989,NA,NA,0.00425631805272159
"36","GRETCHEN DRISKELL FOR CONGRESS","C00572859","DRISKELL, GRETCHEN","H6MI07223","DEM","MI",7,"midwest","C","GOP Hold",53.8,46.2,7.6,3156428.72,50550,82683.27,3451.36,137268.54,75677,641456.45,NA,4682.35,3254.86,93860.31,NA,NA,NA,NA,50,0.016014934751956,0.0261951963230141,0.00109343828299725,0.0434885600711427,0.0239755136938432,0.203222219445526,NA,0.0014834328335474,0.00103118438232941,0.0297362362106501,NA,NA,NA,NA,1.58406871928348e-05
"37","FASO FOR CONGRESS","C00580415","FASO, JOHN J. MR.","H6NY19169","REP","NY",19,"northeast","I","Dem Pickup",51.4,46.2,5.2,4051407.84,1699068.45,NA,36757.16,932509.63,595911.28,282945.16,5162,27022.99,4084.16,150643.24,1697821,NA,1247.45,NA,NA,0.419377292314269,NA,0.009072688174489,0.230169281105997,0.14708745787489,0.0698387254935065,0.00127412499650986,0.00667002461050675,0.00100808414291858,0.037182936388848,0.419069387001038,NA,0.000307905313230573,NA,NA
"38","WAYNE LIEBNITZKY FOR CONGRESS","C00582015","LIEBNITZKY, WAYNE","H6FL09195","REP","FL",9,"south","C","Dem Hold",58,42,16,69987.71,8000,NA,NA,4000,NA,NA,NA,NA,NA,15576.17,NA,8000,NA,NA,NA,0.11430578311535,NA,NA,0.0571528915576749,NA,NA,NA,NA,NA,0.222555788723477,NA,0.11430578311535,NA,NA,NA
"39","AMIE HOEBER FOR CONGRESS","C00582296","HOEBER, AMIE","H6MD06212","REP","MD",6,"south","O","Dem Hold",59,38,21,958195.1,697859.86,NA,59241,234733.27,43023.82,NA,NA,196.3,8326.62,26830.88,15504,396500.3,3948.29,NA,NA,0.728306646527414,NA,0.0618256135937243,0.244974400307411,0.0449008975312022,NA,NA,0.000204864332952652,0.00868990041798377,0.0280014790307318,0.0161804208767087,0.413799131304262,0.00412054914494971,NA,NA
"40","TARKANIAN FOR CONGRESS","C00582320","TARKANIAN, DANNY","H2NV04045","REP","NV",3,"west",NA,"Dem Hold",51.9,42.8,9.1,24547.27,NA,NA,NA,7550,NA,354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.307569843815626,NA,0.0144211555908254,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","STELLA FOR CONGRESS","C00586065","STELLA, DOMINICK J. M.D.","H6IL11133","REP","IL",11,"midwest","C","Dem Hold",63.8,36.2,27.6,290585.43,56887.15,2920,100,86400,1497.2,NA,NA,744,NA,NA,16710,19761,NA,NA,3500,0.195767385859642,0.0100486800043622,0.00034413287686172,0.297330805608526,0.00515235743237367,NA,NA,0.0025603486038512,NA,NA,0.0575046037235934,0.0680040977966445,NA,NA,0.0120446506901602
"42","JAN MCDOWELL FOR CONGRESS","C00588558","MCDOWELL, JAN","H6TX24149","DEM","TX",24,"south","C","GOP Hold",50.6,47.5,3.1,87224.89,8485,NA,NA,NA,772.78,33872.5,NA,NA,834.68,460,3625,4860,NA,NA,94.98,0.0972772794554398,NA,NA,NA,0.00885962710873009,0.388335256140764,NA,NA,0.0095692869317462,0.00527372404826191,0.0415592384238031,0.0557180410316367,NA,NA,0.00108890936979112
"43","JASON LEWIS FOR CONGRESS, INC.","C00589234","LEWIS, JASON MARK MR.","H6MN02149","REP","MN",2,"midwest","I","Dem Pickup",52.8,47.2,5.6,2984308.69,193188,70200,NA,412432.77,312513.61,93336.73,NA,31364.44,24710.78,219308.6,NA,NA,NA,NA,19955.8,0.064734590174048,0.0235230357486913,NA,0.138200438641621,0.104718929059581,0.0312758295791445,NA,0.0105097840934143,0.00828023591621147,0.0734872370056329,NA,NA,NA,NA,0.00668690878623552
"44","RON COHEN FOR CONGRESS 2018","C00591784","COHEN, RONALD H","H6CA17141","REP","CA",17,"west","C","Dem Hold",75.3,24.7,50.6,3595.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,184.06,NA,NA,NA,NA,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0511973208052048,NA,NA,NA,NA,0.0489553866223843
"45","OMAR NAVARRO FOR CONGRESS","C00592048","NAVARRO, OMAR","H6CA44145","REP","CA",43,"west","C","Dem Hold",77.7,22.3,55.4,999834.39,37278.45,NA,5521,40053.19,211394.95,19460.71,NA,47848.43,38042.74,59535.21,700,12500,NA,47064.99,507.03,0.0372846247066977,NA,0.00552191448425774,0.0400598243075036,0.21142996491649,0.019463933422014,NA,0.0478563554910329,0.03804904130173,0.0595450712592512,0.00070011594620185,0.0125020704678902,NA,0.0470727857240438,0.000507113983146749
"46","MARK HOLBROOK FOR CONGRESS","C00592469","HOLBROOK, MARK IRVING DR","H6ME01207","REP","ME",1,"northeast","C","Dem Hold",58.8,32.4,26.4,92526.64,60812.52,NA,NA,NA,3715.55,NA,NA,NA,3500,900,11412.39,47119.75,NA,NA,240,0.657243362560231,NA,NA,NA,0.0401565430237173,NA,NA,NA,0.0378269436780586,0.00972692837435792,0.123341666789154,0.509256036964057,NA,NA,0.00259384756649544
"47","VICENTE GONZALEZ FOR CONGRESS","C00592659","GONZALEZ, VICENTE","H6TX15162","DEM","TX",15,"northeast","I","Dem Hold",96,4,92,583111.5,14812,NA,NA,78333.96,77519.69,3960,NA,24962.08,24649.01,244.05,NA,NA,NA,2599,1299,0.0254016598883747,NA,NA,0.13433787534631,0.132941452878223,0.00679115400742397,NA,0.0428084165721307,0.0422715209698317,0.000418530589775712,NA,NA,NA,0.00445712355184214,0.00222770430698074
"48","COMMITTEE TO ELECT TIMMY WESTLEY","C00597716","WESTLEY, TIMMY LEE","H6TX15204","REP","TX",15,"south","C","Dem Hold",59.7,38.8,20.9,5780.2,0,NA,NA,NA,NA,NA,0,139.65,426.03,92.56,NA,NA,NA,NA,145,0,NA,NA,NA,NA,NA,0,0.0241600636656171,0.0737050621085776,0.0160132867374831,NA,NA,NA,NA,0.0250856371751842
"49","AVA FOR CONGRESS","C00598375","PATE, AVA","H6TX18158","REP","TX",18,"south","C","Dem Hold",75.2,20.8,54.4,14000.88,1445,NA,NA,NA,NA,NA,1597.76,NA,NA,NA,1445,NA,NA,NA,458.62,0.10320779836696,NA,NA,NA,NA,NA,0.114118541120272,NA,NA,NA,0.10320779836696,NA,NA,NA,0.032756512447789
"50","SEAN FLYNN FOR CONGRESS","C00602722","FLYNN, SEAN","H6CA31134","REP","CA",31,"west","C","Dem Hold",58.7,41.3,17.4,1518283.68,226891,26000,1000,687290.55,305532.68,NA,NA,NA,18439.21,189970.94,NA,64992.5,NA,200,NA,0.149439135116041,0.0171245995346535,0.000658638443640519,0.452675978180836,0.201235568836517,NA,NA,NA,0.0121447725763607,0.125122164258526,NA,0.0428065590483064,NA,0.000131727688728104,NA
"51","REY GONZALEZ FOR CONGRESS","C00607333","GONZALEZ, REY DR.","H6TX34031","REP","TX",34,"south","C","Dem Hold",60,40,20,79484.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","G RYAN FOR CONGRESS","C00607846","RYAN, GREGORY","H6MN04236","REP","MN",4,"midwest","C","Dem Hold",66,29.8,36.2,19299.01,NA,NA,NA,NA,NA,NA,NA,NA,540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0279807098913364,NA,NA,NA,NA,NA,NA
"53","WRIGHT FOR CONGESS","C00608430","WRIGHT, KENNETH","H6CA33106","REP","CA",33,"west","C","Dem Hold",70,30,40,160561.09,57782.5,NA,800,3000,4102.84,NA,260,207.88,3954.35,15010.53,NA,49988.5,7794,11581.85,1478.75,0.359878598233233,NA,0.00498252721129384,0.0186844770423519,0.025553139929481,NA,0.0016193213436705,0.00129470969585471,0.0246283205974748,0.0934879677261782,NA,0.311336326877203,0.0485422713560303,0.0721336034776545,0.00920989014212597
"54","SCOTT TAYLOR FOR CONGRESS","C00608703","TAYLOR, SCOTT W. MR.","H0VA02118","REP","VA",2,"south","I","Dem Pickup",51.1,48.9,2.2,4065952.94,445861.65,40281,6000,507305.31,896379.73,134564.43,32461.85,44284.38,179808.17,716693.94,5465,NA,NA,18660.86,1596.88,0.109657356240823,0.0099069026608065,0.00147566882562099,0.124769105173165,0.220459937246593,0.0330954223980763,0.00798382334449744,0.0108915131713256,0.0442228851768265,0.176267150794913,0.00134408835533645,NA,NA,0.00458954156021294,0.00039274433904294
"55","HUGHES FOR CONGRESS","C00610071","HUGHES, DAVID RUSSELL MR.","H6MN07304","REP","MN",7,"midwest","C","Dem Hold",52.1,47.9,4.2,244839.92,74810.52,750,NA,35513,8977.91,4030,NA,NA,3468,4011.07,NA,NA,NA,NA,3455.33,0.305548703005621,0.00306322596413199,NA,0.145045791552293,0.036668489354187,0.0164597341806026,NA,NA,0.0141643568581463,0.0163824183572679,NA,NA,NA,NA,0.0141126087608589
"56","BEVERLY4CONGRESS","C00612697","GOLDSTEIN, BEVERLY A.","H6OH11160","REP","OH",11,"midwest","C","Dem Hold",82.2,17.8,64.4,18468.44,6276.74,NA,NA,1516.5,NA,NA,NA,NA,585.25,2015.98,800,NA,4980.42,NA,NA,0.339863031203502,NA,NA,0.082113053403536,NA,NA,NA,NA,0.0316891951891984,0.109158109726647,0.0433171399425182,NA,0.269671937640645,NA,NA
"57","CHRISTOPHER PETERS FOR CONGRESS","C00613539","PETERS, CHRISTOPHER","H6IA02161","REP","IA",2,"midwest","C","Dem Hold",54.8,42.6,12.2,172010.06,NA,NA,NA,16999.61,NA,19000,NA,146.79,NA,211.67,NA,NA,NA,NA,549.2,NA,NA,NA,0.0988291615036934,NA,0.110458655732112,NA,0.000853380319732462,NA,0.00123056756099033,NA,NA,NA,NA,0.00319283651200401
"58","COFFMAN FOR CONGRESS 2018","C00629287","COFFMAN, MIKE REP.","H8CO06138","REP","CO",6,"west","I","Dem Pickup",54.1,42.9,11.2,3751044.23,225562.64,100306,12000,713743.06,406265.85,NA,NA,2762.46,73026.11,175119.17,NA,NA,NA,NA,156.25,0.0601332925365159,0.0267408203821686,0.00319910917179454,0.190278497462559,0.108307400576826,NA,NA,0.000736450926892963,0.0194682081901231,0.046685445242004,NA,NA,NA,NA,4.16550673410748e-05
"59","JEFF DOVE FOR CONGRESS","C00630384","DOVE, JEFFERY ANTHONY MR. JR.","H8VA11070","REP","VA",11,"south","C","Dem Hold",71.2,27,44.2,555404.38,18700.36,NA,NA,61292.28,2790,NA,NA,NA,4198.05,228328.56,3360.02,4925,NA,47.19,742,0.0336698100940436,NA,NA,0.11035613366967,0.00502336693851784,NA,NA,NA,0.00755854680152144,0.411103275778992,0.00604968221532571,0.00886741296494637,NA,8.49651203686942e-05,0.00133596353705385
