committee_id,website
C00639484,61.870000000000005
C00545616,316.05
C00558437,3956.15
C00641431,2500
C00636555,157.78
C00646752,2500
C00648915,1500
C00634329,204
C00648592,216
C00636621,3205.86
C00637777,2500
C00648006,2745
C00506832,7666.92
C00648055,129.72
C00638478,842.2
C00279851,1500
C00639302,2600
C00636399,457.42
C00624346,3050
C00640268,319.06
C00636514,5614.4
C00639658,550
C00637132,35.99
C00639286,10630
C00637306,13130
C00629915,1800
C00641175,185.06
C00637827,1000
C00638429,25.56
C00634923,6738.95
C00636563,1650
C00646570,7144
C00635839,500
C00435099,2740
C00288159,54.9
C00617662,3311.4
C00434191,232.24
C00647859,396.39
C00637967,687.5300000000001
C00629790,514
C00637876,2900
C00652370,1250
C00640276,36
C00650838,1805
C00638577,420.28
C00656736,7995
C00661363,59
C00648758,215.9
C00637058,248.26
C00655720,119.5
C00668830,100
C00667006,1650
C00612432,594.64
C00610212,372.59000000000003
C00671891,2919.14
C00652156,3000
C00583427,39.9
C00649954,474.47
C00639534,1368
C00652271,5000
C00649459,1000.08
C00463836,39.9
C00647958,2500
C00639005,9335
C00512236,418.73
C00653097,14.58
C00653949,3931.84
C00650655,40750
C00652107,2500
C00343871,28803.170000000002
C00649632,10750
C00468579,801.2
C00564948,330
C00649863,153.54
C00648931,2790
C00441352,1445
C00654160,700
C00647198,2000
C00653923,20456.43
C00637918,233.98
C00650887,2545
C00649947,390
C00650515,4265
C00652958,700
C00656116,224.44
C00653451,2625
C00575043,414
C00655910,2167.5
C00649871,313.38
C00650895,2500
C00649558,5118
C00649749,20000
C00650804,4000
C00653766,3
C00653238,2652
C00651133,207.49
C00641498,376.02
C00650507,743.57
C00652628,24864.97
C00649061,10000
C00615518,40
C00651273,500
C00255562,17275
C00649582,360
C00636498,2000
C00636738,531.69
C00666651,0
C00669796,2000
C00636845,2028
C00637074,7500
C00638205,25
C00638650,1000
C00638783,44
C00639054,214.20999999999998
C00639732,192
C00658724,1287.15
C00639989,75.94
C00650697,11377.630000000001
C00638254,192.85
C00670679,4250
C00640698,481.12
C00671032,2700
C00641191,3820.5
C00675710,1103.67
C00681957,147
C00638411,4500
C00647560,147
C00647669,9000
C00675975,267.4
C00679761,10186
C00649004,4842.75
C00672345,10477.23
C00649368,1550
C00649533,7500
C00668608,390.06
C00649962,10000
C00650028,3486
C00650150,900
C00673202,15
C00680827,2777
C00650283,184.32
C00650531,275
C00680785,11500
C00634659,700
C00652214,211.93
C00652495,4400
C00657015,9995
C00652891,405
C00654111,6700
C00654178,8000
C00655613,2677.5
C00655183,12400
C00656751,6750
C00656769,8000
C00658062,2500
C00658708,10520.34
C00660126,4120
C00661389,90.42999999999999
C00661116,885
C00660324,578.25
C00665638,3506
C00665885,4500
C00666107,770
C00667964,6900
C00670570,6122
C00670703,6250
C00675215,3000
C00676502,1000
C00681155,2805
C00658351,5500
C00667915,1700.77
C00681767,27.91
C00495952,1803.21
C00512202,4000
C00683532,3034.28
C00640375,456.31
C00660449,11499.92
C00663914,926.28
C00666677,1506
C00510461,10250
C00472365,2895.6
C00659367,220
C00668400,2700
C00671404,2800
C00640938,1000
C00665836,1000
C00286500,12502.36
C00684696,2500
C00595694,26.59
C00610071,3455.33
C00565366,4000
C00657445,1500
C00675538,7500
C00540617,95
C00639591,2565
C00393348,467.64
C00671859,36204.119999999995
C00666313,204.07
C00675041,5000
C00652784,7500
C00655654,84.64
C00665927,372.2
C00670414,5000
C00633610,8000
C00602995,142.5
C00664565,716
C00648634,278.4
C00666461,194.4
C00675686,20.16
C00648923,7500
C00670182,3
C00639575,322.68
C00640227,70.65
C00674853,6150
C00661751,275.88
C00518654,575.91
C00653493,885
C00670950,101.76
C00669952,32
C00648097,1500
C00667576,216
C00665364,139.97
C00637397,9828.38
C00550707,2119
C00639450,499
C00656058,525.85
C00637470,460.42
C00663849,1651.37
C00670737,417.3
C00668475,2500
C00673012,334.8
C00469882,202.66
C00394353,4000
C00541862,5612.5
C00615542,4589
C00672808,30
C00672071,299
C00520379,2500
C00663427,3225
C00662205,8745
C00669838,690
C00670455,26
C00661165,11873.67
C00657874,200
C00258855,77103.98
C00634212,1345.1
C00681296,1401.23
C00641340,76.86
C00653659,244.77
C00677286,6466.4
C00676528,160
C00415182,1619.41
C00474189,2192.5
C00166504,380.8
C00622829,269
C00668574,1190.43
C00445452,4000
C00658633,6000
C00640045,184
C00660134,3029
C00651331,1433.79
C00390724,965
C00682351,500
C00688671,145
C00640763,5000
C00649350,1990
C00659235,267.51
C00672360,91.32
C00680868,2000
C00602706,555
C00669481,9000
C00676726,1501.6
C00661173,64
C00666420,689.58
C00338954,25800
C00392688,653.5
C00649210,150
C00669630,128
C00654640,438.45
C00635870,-53.91
C00450049,2500
C00672568,177.62
C00651950,144
C00669507,1114
C00634543,103.2
C00656603,3500
C00658278,174
C00658674,314.93
C00664516,800
C00670562,2500
C00581595,13714
C00646745,800.2900000000001
C00659151,500
C00669143,114.07
C00675777,5052.15
C00660852,3000
C00510164,2668.6
C00580316,63.85
C00657833,1750
C00666057,127.67
C00593525,980.39
C00543926,388.94
C00658195,3000
C00502179,1665
C00662171,28
C00461822,19778.4
C00650226,8792.25
C00664409,216
C00647313,151.26
C00658336,2850
C00673848,700
C00680306,1450
C00661678,5000
C00650366,4225
C00572149,2.28
C00679936,177.9
C00615013,20
C00672154,1350
C00679720,115
C00648972,183
C00658005,8150
C00172619,75
C00659201,444.98
C00668467,2669.08
C00663591,2100
C00571869,5360
C00219881,2825
C00253187,2675
C00271312,41.43
C00264101,1500
C00311043,1000
C00330894,4923.99
C00331397,119.88
C00336388,8750
C00344671,1320
C00354688,2600
C00654988,3460.77
C00662809,10931.06
C00654624,168
C00481911,478.8
C00636175,2274.31
C00607101,1800
C00451336,720
C00665463,58
C00200865,12440
C00333740,575
C00654277,5000
C00631127,64
C00457556,41.34
C00675603,1248.41
C00498568,1656
C00657650,7020
C00682948,15330
C00650093,2740
C00498212,127.98
C00640870,233.33
C00650622,7312.4
C00226522,1265.59
C00672451,630
C00668525,98
C00666453,2063.45
C00676668,6507.5
C00666396,1015.62
C00386847,228
C00405431,8.99
C00539866,3500
C00648220,6000
C00675587,8393.35
C00680934,152.72
C00664110,4023.0000000000005
C00634808,139.92999999999998
C00646489,550
C00668087,1200
C00680900,376.1
C00658070,216
C00655084,321.48
C00679852,250
C00637868,168
C00473736,294
C00502229,2904
C00557181,300
C00616573,1250
C00633859,144
C00646455,500
C00646844,757.75
C00649038,168
C00649285,299
C00649301,4500
C00650424,168
C00650812,3275
C00654558,400
C00656033,2350
C00657882,2100
C00659516,1500
C00659581,398
C00659755,614
C00665547,71.28
C00666073,5400
C00677666,2598.2
C00683623,2383.06
